pokemon_no,card_type,required_master_ball_cnt,required_ultra_ball_cnt,required_heal_ball_cnt,required_quick_ball_cnt,required_great_ball_cnt,required_poke_ball_cnt,score,reward_ball_type,reward_ball_cnt,evolution_ball_type,evolution_ball_cnt
1,1단계,0,2,0,0,0,3,1,퀵볼,1,힐볼,3
1,1단계,0,0,0,4,0,0,1,퀵볼,1,힐볼,3
4,1단계,0,3,2,0,0,0,1,슈퍼볼,1,퀵볼,3
4,1단계,0,0,0,0,4,0,1,슈퍼볼,1,퀵볼,3
7,1단계,0,0,3,0,2,0,1,몬스터볼,1,하이퍼볼,3
7,1단계,0,0,0,0,0,4,1,몬스터볼,1,하이퍼볼,3
10,1단계,0,1,0,1,1,1,0,힐볼,1,슈퍼볼,3
10,1단계,0,2,0,1,1,0,0,힐볼,1,슈퍼볼,3
13,1단계,0,0,1,1,1,1,0,하이퍼볼,1,몬스터볼,3
13,1단계,0,0,1,0,2,1,0,하이퍼볼,1,몬스터볼,3
16,1단계,0,0,0,0,2,2,0,슈퍼볼,1,몬스터볼,2
16,1단계,0,1,0,2,0,0,0,슈퍼볼,1,몬스터볼,2
16,1단계,0,0,3,0,0,0,0,슈퍼볼,1,몬스터볼,2
29,1단계,0,0,0,2,2,0,0,퀵볼,1,슈퍼볼,2
29,1단계,0,0,1,0,0,2,0,퀵볼,1,슈퍼볼,2
29,1단계,0,3,0,0,0,0,0,퀵볼,1,슈퍼볼,2
43,1단계,0,2,0,2,0,0,0,하이퍼볼,1,퀵볼,2
43,1단계,0,0,2,0,0,1,0,하이퍼볼,1,퀵볼,2
43,1단계,0,0,0,0,3,0,0,하이퍼볼,1,퀵볼,2
60,1단계,0,2,2,0,0,0,0,힐볼,1,하이퍼볼,2
60,1단계,0,0,0,1,2,0,0,힐볼,1,하이퍼볼,2
60,1단계,0,0,0,0,0,3,0,힐볼,1,하이퍼볼,2
63,1단계,0,0,0,2,3,0,1,힐볼,1,몬스터볼,3
63,1단계,0,0,4,0,0,0,1,힐볼,1,몬스터볼,3
66,1단계,0,1,1,1,1,0,0,몬스터볼,1,퀵볼,3
66,1단계,0,1,1,2,0,0,0,몬스터볼,1,퀵볼,3
69,1단계,0,0,2,0,0,2,0,몬스터볼,1,힐볼,2
69,1단계,0,2,0,0,1,0,0,몬스터볼,1,힐볼,2
69,1단계,0,0,0,3,0,0,0,몬스터볼,1,힐볼,2
74,1단계,0,1,1,1,0,1,0,슈퍼볼,1,힐볼,3
74,1단계,0,0,0,1,1,2,0,슈퍼볼,1,힐볼,3
92,1단계,0,1,1,0,1,1,0,퀵볼,1,하이퍼볼,3
92,1단계,0,1,2,0,0,1,0,퀵볼,1,하이퍼볼,3
