no,name,evolution_pokemon_no
1,이상해씨,2
2,이상해풀,3
3,이상해꽃,없음
4,파이리,5
5,리자드,6
6,리자몽,없음
7,꼬부기,8
8,어니부기,9
9,거북왕,없음
10,캐터피,11
11,단데기,12
12,버터플,없음
13,뿔충이,14
14,딱충이,15
15,독침붕,없음
16,구구,17
17,피죤,18
18,피죤투,없음
29,니드런♀,30
30,니드리나,31
31,니드퀸,없음
43,뚜벅쵸,44
44,냄새꼬,45
45,라플레시아,없음
60,발챙이,61
61,수륙챙이,62
62,강챙이,없음
63,캐이시,64
64,윤겔라,65
65,후딘,없음
66,알통몬,67
67,근육몬,68
68,괴력몬,없음
69,모다피,70
70,우츠동,71
71,우츠보트,없음
74,꼬마돌,75
75,데구리,76
76,딱구리,없음
92,고오스,93
93,고우스트,94
94,팬텀,없음
131,라프라스,없음
132,메타몽,없음
133,이브이,없음
142,프테라,없음
143,잠만보,없음
144,프리져,없음
145,썬더,없음
146,파이어,없음
147,미뇽,148
148,신뇽,149
149,망나뇽,없음
150,뮤츠,없음
151,뮤,없음
